"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1789","","hypothetical protein","13","91","6","166","68.42105263157895","64.59143968871595","3.9523809523809526","0.006127698493487682","1.0","0.34283619036430346","7","4","3","0.9999999999999998","0.9999999999999998"
"spuD","","Putrescine-binding periplasmic protein SpuD","13","91","6","166","68.42105263157895","64.59143968871595","3.9523809523809526","0.006127698493487682","1.0","0.34283619036430346","9","6","4","0.5078125","1.0"
"group_1972","","hypothetical protein","9","48","10","209","47.368421052631575","81.32295719844358","3.91875","0.006273388556152014","1.0","0.349930761216416","11","7","6","0.548828125","0.9999999999999997"
"group_2256","","hypothetical protein","9","48","10","209","47.368421052631575","81.32295719844358","3.91875","0.006273388556152014","1.0","0.349930761216416","12","7","8","0.3876953125000001","0.7744140625000003"
"lptF","","hypothetical protein","9","48","10","209","47.368421052631575","81.32295719844358","3.91875","0.006273388556152014","1.0","0.349930761216416","8","6","2","0.2890624999999999","0.2890624999999999"
"group_1441","","hypothetical protein","11","67","8","190","57.89473684210527","73.92996108949417","3.8992537313432836","0.006281744502989734","1.0","0.349930761216416","16","10","7","0.45449829101562506","0.8036193847656252"
"group_2115","","hypothetical protein","11","67","8","190","57.89473684210527","73.92996108949417","3.8992537313432836","0.006281744502989734","1.0","0.349930761216416","8","5","3","0.7265625000000002","0.7265625000000002"
"glpQ","","hypothetical protein","17","146","2","111","89.47368421052632","43.190661478599225","6.462328767123288","0.006325561113209585","1.0","0.35064693857000123","5","3","2","1.0","1.0"
"PGdx","","Peroxiredoxin","17","146","2","111","89.47368421052632","43.190661478599225","6.462328767123288","0.006325561113209585","1.0","0.35064693857000123","3","2","1","1.0","1.0"
"chpT","","Protein phosphotransferase ChpT","17","146","2","111","89.47368421052632","43.190661478599225","6.462328767123288","0.006325561113209585","1.0","0.35064693857000123","2","2","1","0.5","1.0"
"group_1166","","hypothetical protein","17","145","2","112","89.47368421052632","43.57976653696498","6.56551724137931","0.006343734802322027","1.0","0.35064693857000123","2","2","1","0.5","1.0"
"wcaJ","","hypothetical protein","17","145","2","112","89.47368421052632","43.57976653696498","6.56551724137931","0.006343734802322027","1.0","0.35064693857000123","2","1","2","0.5","1.0"
"nit1","","Deaminated glutathione amidase","17","145","2","112","89.47368421052632","43.57976653696498","6.56551724137931","0.006343734802322027","1.0","0.35064693857000123","4","2","2","1.0","1.0"
"nagZ","","Beta-hexosaminidase","17","145","2","112","89.47368421052632","43.57976653696498","6.56551724137931","0.006343734802322027","1.0","0.35064693857000123","1","1","1","1.0","1.0"
